id,name,agency,solicitation_number,outcome,docket_url,filed_date,due_date,date_decided,case_type,gao_attorney
1,"PABULUM Consulting, LLC","Department of Veterans Affairs",VA256-15-R-0956,Dismissed,http://gao.gov/docket/B-412604.1,"Dec 30, 2015","Apr 8, 2016","Jan 4, 2016","Bid Protest","Tania Calhoun"
2,"Gartner Inc.","Department of Agriculture",AG-3144-S-15-0086,Dismissed,http://gao.gov/docket/B-412075.3,"Dec 22, 2015","Mar 31, 2016","Dec 31, 2015","Bid Protest","Robert T. Wu"
3,"Sysorex Government Services, Inc.","Department of the Army : U.S. Army Materiel Command",W52P1J-11-R-0059,Dismissed,http://gao.gov/docket/B-409648.14,"Dec 18, 2015","Mar 28, 2016","Dec 23, 2015","Bid Protest: Entitlement","Eric M. Ransom"
4,"Coaxial Specialties, LLC","Department of Defense : Defense Logistics Agency","",Withdrawn,http://gao.gov/docket/B-412564.1,"Dec 17, 2015","Mar 28, 2016","Jan 4, 2016","Bid Protest","Christina Sklarew"
5,"Tongva Ancestral Territorial Tribal Nation","National Aeronautics and Space Administration","",Dismissed,http://gao.gov/docket/B-412553.1,"Dec 15, 2015","Mar 24, 2016","Dec 30, 2015","Bid Protest","Heather Weiner"
6,"RAO Contract Sales, Inc.","Department of Veterans Affairs",VA261-16-Q-0053,Dismissed,http://gao.gov/docket/B-412549.1,"Dec 15, 2015","Mar 24, 2016","Dec 28, 2015","Bid Protest","Robert T. Wu"
7,"Cartridge Savers, Inc.","Department of Defense : Defense Logistics Agency",SPE8EN-16-T-0415,Withdrawn,http://gao.gov/docket/B-412554.1,"Dec 15, 2015","Mar 24, 2016","Dec 18, 2015","Bid Protest","Christina Sklarew"
8,"Lexmark International, Inc.","Department of the Air Force",H92257-15-Q-0187,Withdrawn,http://gao.gov/docket/B-412134.2,"Dec 14, 2015","Mar 23, 2016","Jan 4, 2016","Bid Protest","Robert T. Wu"
9,"Drace Anderson, JV","Department of the Navy : Naval Facilities Engineering Command",N69450-15-R-0606,Dismissed,http://gao.gov/docket/B-412551.1,"Dec 14, 2015","Mar 23, 2016","Jan 4, 2016","Bid Protest","Elizabeth Witwer"
10,"New Beginnings Capital Partnership LLC","Department of the Air Force","",Dismissed,http://gao.gov/docket/B-412544.1,"Dec 14, 2015","Mar 23, 2016","Dec 29, 2015","Bid Protest","Frank Maguire"
11,"Deloitte & Touche LLP","Department of Defense : Office of the Under Secretary for Personnel and Readiness : Defense Health Agency",HT0011-15-R-0029,Dismissed,http://gao.gov/docket/B-412283.3,"Dec 14, 2015","Mar 23, 2016","Dec 18, 2015","Bid Protest","Paula J. Haurilesko"
12,"SVD Stars II, LLC","General Services Administration : Federal Acquisition Service",ID11150028,Dismissed,http://gao.gov/docket/B-412545.1,"Dec 11, 2015","Mar 21, 2016","Dec 30, 2015","Bid Protest","Peter D. Verchinski"
13,"Hana Industries, Inc.","Department of Homeland Security : Directorate of Border and Transportation Security : Federal Law Enforcement Training Center",HSFLGL-15-R-00023,Dismissed,http://gao.gov/docket/B-412540.1,"Dec 11, 2015","Mar 21, 2016","Dec 22, 2015","Bid Protest","Eric M. Ransom"
14,"Lam-Tex Composites, Inc.","Department of Defense : Defense Logistics Agency",SPE8EF-16-T-0343,Withdrawn,http://gao.gov/docket/B-412541.1,"Dec 11, 2015","Mar 21, 2016","Dec 18, 2015","Bid Protest","Brent Burris"
15,"Facility Services Management, Inc.","Department of Homeland Security : United States Coast Guard",HSCG84-15-R-AA8453,Dismissed,http://gao.gov/docket/B-412522.3,"Dec 11, 2015","Mar 21, 2016","Dec 17, 2015","Bid Protest","Paula J. Haurilesko"
16,"Thompson Industrial Services, LLC","Department of Agriculture : Animal and Plant Health Inspection Service",AG-6395-S-14-0073,Withdrawn,http://gao.gov/docket/B-412534.1,"Dec 10, 2015","Mar 21, 2016","Dec 23, 2015","Bid Protest","Evan D. Wesser"
17,"Major Contracting Services, Inc.","Department of the Navy : Naval Facilities Engineering Command",N40085-16-T-2206,Dismissed,http://gao.gov/docket/B-412537.1,"Dec 10, 2015","Mar 21, 2016","Dec 22, 2015","Bid Protest","Young S. Lee"
18,"Downrange Operations & Training, LLC","Department of State",SAQMMA15R0318,Withdrawn,http://gao.gov/docket/B-412514.2,"Dec 10, 2015","Mar 21, 2016","Dec 17, 2015","Bid Protest","Matthew T. Crosby"
19,"B&S Transport, Inc.","Department of Defense : Defense Logistics Agency",SPRDL1-15-R-0341,Dismissed,http://gao.gov/docket/B-412532.1,"Dec 9, 2015","Mar 18, 2016","Dec 31, 2015","Bid Protest","Paul N. Wengert"
20,"Latvian Connection, LLC","Department of Defense : United States Marine Corps",M68450-16-T-N002,Dismissed,http://gao.gov/docket/B-412530.1,"Dec 8, 2015","Mar 17, 2016","Dec 30, 2015","Bid Protest","Kenneth Kilgour"
21,"Planned Systems International, Inc.","Department of the Navy : Naval Supply Systems Command",N00024-15-R-3315,Withdrawn,http://gao.gov/docket/B-412527.1,"Dec 8, 2015","Mar 17, 2016","Dec 23, 2015","Bid Protest","Charles W. Morrow"
22,"Facility Services Management, Inc.","Department of Homeland Security : United States Coast Guard",HSCG84-15-R-AA8453,Dismissed,http://gao.gov/docket/B-412522.2,"Dec 8, 2015","Mar 17, 2016","Dec 17, 2015","Bid Protest","Paula J. Haurilesko"
23,"Latvian Connection, LLC","Department of Defense : Defense Logistics Agency",SP7000-16-Q-0006,Dismissed,http://gao.gov/docket/B-412423.2,"Dec 7, 2015","Mar 16, 2016","Dec 18, 2015","Bid Protest: Entitlement","Young S. Lee"
24,"Satellite Services, Inc.","Department of Homeland Security : United States Coast Guard",HSCG84-15-R-AA8453,Dismissed,http://gao.gov/docket/B-412522.1,"Dec 7, 2015","Mar 16, 2016","Dec 17, 2015","Bid Protest","Paula J. Haurilesko"
25,"Caduceus Healthcare, Inc","Department of the Army",W91YTZ-15-R-0012,Dismissed,http://gao.gov/docket/B-412523.1,"Dec 7, 2015","Mar 16, 2016","Dec 15, 2015","Bid Protest","Young H. Cho"
26,"Raytheon Company","Department of the Army : U.S. Army Materiel Command",R2-3G-0839,Withdrawn,http://gao.gov/docket/B-412384.2,"Dec 4, 2015","Mar 14, 2016","Dec 18, 2015","Bid Protest","Evan D. Wesser"
27,"Binary Information Technology","Export-Import Bank of the United States",EXIM-15-Q-0057,Dismissed,http://gao.gov/docket/B-412516.1,"Dec 4, 2015","Mar 14, 2016","Dec 17, 2015","Bid Protest","Paul N. Wengert"
28,"Abt Associates, Inc.","Corporation for National and Community Service",CNSHQ-15-R-0010,Dismissed,http://gao.gov/docket/B-412349.2,"Dec 4, 2015","Mar 14, 2016","Dec 10, 2015","Bid Protest","Scott H. Riback"
29,"Native Lakota Corporation","Department of Homeland Security : Transportation Security Administration","",Dismissed,http://gao.gov/docket/B-412518.1,"Dec 4, 2015","Mar 14, 2016","Dec 9, 2015","Bid Protest","Jennifer D. Westfall-McGrail"
30,"Latvian Connection, LLC","Department of the Air Force",F1ECES52220200,Dismissed,http://gao.gov/docket/B-412127.2,"Dec 2, 2015","Mar 11, 2016","Dec 30, 2015","Bid Protest: Reconsideration","Noah B. Bleicher"
31,"Veterans Contracting, Inc.","Department of the Air Force",FA6656-15-B-0001,Dismissed,http://gao.gov/docket/B-411890.2,"Dec 2, 2015","Mar 11, 2016","Dec 23, 2015","Bid Protest","Frank Maguire"
32,"Advanced Management Strategies Group, Inc.","Department of Defense : United States Marine Corps",N00024-15-R-3249,Dismissed,http://gao.gov/docket/B-412510.1,"Dec 2, 2015","Mar 11, 2016","Dec 23, 2015","Bid Protest","Elizabeth Witwer"
33,"Protein Sciences Corporation","Department of Veterans Affairs",VA797-15-R-0091,Dismissed,http://gao.gov/docket/B-412512.1,"Dec 2, 2015","Mar 11, 2016","Dec 23, 2015","Bid Protest","Glenn G. Wolcott"
34,"B&D Consulting, Inc.","Department of Defense : Defense Information Systems Agency",RFQ831505923,Dismissed,http://gao.gov/docket/B-412511.1,"Dec 2, 2015","Mar 11, 2016","Dec 22, 2015","Bid Protest","K. Nicole Willems"
35,"Downrange Operations & Training, LLC","Department of State",SAQMMA15R0318,Withdrawn,http://gao.gov/docket/B-412514.1,"Dec 2, 2015","Mar 11, 2016","Dec 17, 2015","Bid Protest","Matthew T. Crosby"
36,"AIS Engineering, Inc.","Department of Defense : Defense Information Systems Agency",RFQ1005565,Dismissed,http://gao.gov/docket/B-412513.1,"Dec 2, 2015","Mar 11, 2016","Dec 16, 2015","Bid Protest","Cherie J. Owen"
37,"Prescient Inc.","Department of Housing and Urban Development",DU204SA-13-R-0005,Dismissed,http://gao.gov/docket/B-412336.13,"Nov 30, 2015","Mar 9, 2016","Dec 29, 2015","Bid Protest","Young S. Lee"
38,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE7L3-16-T-2393,Withdrawn,http://gao.gov/docket/B-412502.1,"Nov 30, 2015","Mar 9, 2016","Dec 23, 2015","Bid Protest","Evan D. Wesser"
39,"AeroSage LLC","Department of Defense : Defense Logistics Agency",SPO600-13-R-0238,Dismissed,http://gao.gov/docket/B-411666.4,"Nov 30, 2015","Mar 9, 2016","Dec 23, 2015","Bid Protest: Reconsideration","Paula J. Haurilesko"
40,"Abhe & Svoboda, Inc.","Department of the Army : Corps of Engineers",W912DW-15-R-0002,Dismissed,http://gao.gov/docket/B-412504.1,"Nov 30, 2015","Mar 9, 2016","Dec 22, 2015","Bid Protest","Robert T. Wu"
41,"SSI Technology, Inc.","Department of Defense : Defense Logistics Agency",SPE4A6-16-Q-0148,Dismissed,http://gao.gov/docket/B-412508.1,"Nov 30, 2015","Mar 9, 2016","Dec 15, 2015","Bid Protest","Paula A. Williams"
42,"KLS Engineering, LLC","Department of Transportation : Federal Highway Administration",DTFH61-15-R-00010,Withdrawn,http://gao.gov/docket/B-412506.1,"Nov 30, 2015","Mar 9, 2016","Dec 9, 2015","Bid Protest","Lois Hanshaw"
43,"Booz Allen Hamilton, Inc.","Department of the Navy : Space and Naval Warfare Systems Command",N00024-15-R-3064,Dismissed,http://gao.gov/docket/B-412501.1,"Nov 30, 2015","Mar 9, 2016","Dec 7, 2015","Bid Protest","Heather Weiner"
44,"Ecology Mir Group","Department of the Army",W91247-16-T-XJ01,Withdrawn,http://gao.gov/docket/B-412505.1,"Nov 30, 2015","Mar 9, 2016","Dec 4, 2015","Bid Protest","Susan K. McAuliffe"
45,"Deloitte Consulting, LLP","Department of the Interior",D15PS00160,Withdrawn,http://gao.gov/docket/B-411583.5,"Nov 30, 2015","Mar 9, 2016","Dec 3, 2015","Bid Protest","Louis A. Chiarella"
46,"Gartner Inc.","Department of Agriculture",AG-3144-S-15-0086,Dismissed,http://gao.gov/docket/B-412075.2,"Nov 25, 2015","Mar 4, 2016","Dec 31, 2015","Bid Protest","Robert T. Wu"
47,"Terra Klean Solutions, Inc.","Department of the Army",W81K04-15-R-0003,Withdrawn,http://gao.gov/docket/B-412497.1,"Nov 25, 2015","Mar 4, 2016","Dec 30, 2015","Bid Protest","Peter D. Verchinski"
48,"WorldWide Language Resources, Inc.","Department of the Army",W911W4-15-R-0021,Dismissed,http://gao.gov/docket/B-412495.1,"Nov 25, 2015","Mar 4, 2016","Dec 16, 2015","Bid Protest","Mary G. Curcio"
49,"Tkacz Engineering, LLC","Department of the Air Force",FA8630-15-R-5003,Dismissed,http://gao.gov/docket/B-412496.1,"Nov 25, 2015","Mar 4, 2016","Dec 10, 2015","Bid Protest","Young S. Lee"
50,"Mike's Absolute Cleaning","Department of the Army",RFP427,Dismissed,http://gao.gov/docket/B-412489.1,"Nov 23, 2015","Mar 2, 2016","Dec 23, 2015","Bid Protest","Frank Maguire"
51,"Unified Consultants Group, Inc.","Department of the Army",W9124B-15-R-0003,Dismissed,http://gao.gov/docket/B-412490.1,"Nov 23, 2015","Mar 2, 2016","Dec 22, 2015","Bid Protest","Heather Weiner"
52,"GS5, LLC","Department of the Army : U.S. Army Materiel Command",W56KGY-15-R-0004,Dismissed,http://gao.gov/docket/B-412491.1,"Nov 23, 2015","Mar 2, 2016","Dec 18, 2015","Bid Protest","Glenn G. Wolcott"
53,"Centerra Group, LLC","Department of Homeland Security : Transportation Security Administration",HSTS05-15-R-SPP064,Dismissed,http://gao.gov/docket/B-412488.1,"Nov 23, 2015","Mar 2, 2016","Dec 18, 2015","Bid Protest","Pedro E. Briones"
54,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412478.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
55,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE4A5-16-T-6233;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412479.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
56,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE7M4-16-T-0704;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412480.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
57,"W K Engineering International, Inc.","Department of Defense : Defense Logistics Agency",SPE4A5-16-T-CX70;SPE7M4-16-T-0666,Withdrawn,http://gao.gov/docket/B-412481.1,"Nov 23, 2015","Mar 2, 2016","Dec 9, 2015","Bid Protest","Paul N. Wengert"
